unique_id,entity_prop,sentence_prop
10y4lkq_rob_pelinka,1.0,0.5
10y4xuc_rob_pelinka,1.0,0.25
10y5bva_rob_pelinka,0.14285714285714285,0.18181818181818182
10y5f6w_rob_pelinka,1.0,0.3333333333333333
10y5gv7_rob_pelinka,0.0625,0.125
10y9cy4_rob_pelinka,1.0,0.5
10ya5ph_rob_pelinka,1.0,0.5
10yhk5y_rob_pelinka,0.1111111111111111,0.14285714285714285
10yq56y_rob_pelinka,0.2,0.25
10ytv55_rob_pelinka,0.125,0.06666666666666667
10yu0xc_rob_pelinka,0.6666666666666666,0.125
10z11j4_rob_pelinka,0.3333333333333333,0.2
10zp9kp_rob_pelinka,0.3,0.0425531914893617
1103egi_rob_pelinka,0.5,0.5
113jnzp_rob_pelinka,0.5,0.5
113jygo_rob_pelinka,1.0,0.5
113jzk8_rob_pelinka,0.5,0.5
113k5zh_rob_pelinka,0.25,0.5
1141wrp_rob_pelinka,1.0,0.06666666666666667
11ajags_rob_pelinka,1.0,0.5
11azwgr_rob_pelinka,0.3333333333333333,0.5
11c01hp_rob_pelinka,1.0,0.5
11cwhnl_rob_pelinka,0.5,0.25
11cwv9i_rob_pelinka,1.0,0.5
11fx2ly_rob_pelinka,0.038461538461538464,0.013333333333333334
11gs92m_rob_pelinka,1.0,0.3333333333333333
11hec9f_rob_pelinka,0.2,0.17647058823529413
11jjks4_rob_pelinka,0.5,0.5
11lnqzn_rob_pelinka,0.5,0.16666666666666666
11m393n_rob_pelinka,0.3333333333333333,0.16666666666666666
11odj86_rob_pelinka,0.35714285714285715,0.19047619047619047
11op7cq_rob_pelinka,1.0,0.3333333333333333
11oxd26_rob_pelinka,0.5,0.5
11rn35i_rob_pelinka,0.25,0.2857142857142857
11shy81_rob_pelinka,0.18181818181818182,0.3333333333333333
11stufb_rob_pelinka,0.11538461538461539,0.1875
11uf1cq_rob_pelinka,0.058823529411764705,0.08333333333333333
11ufeja_rob_pelinka,0.14285714285714285,0.125
11uivqo_rob_pelinka,0.125,0.02857142857142857
11uw6in_rob_pelinka,0.2222222222222222,0.09523809523809523
11w7r3t_rob_pelinka,0.2,0.2
11wn7qn_rob_pelinka,0.038461538461538464,0.07692307692307693
11xsirw_rob_pelinka,0.16666666666666666,0.09090909090909091
121bfoa_rob_pelinka,1.0,0.3333333333333333
121md3w_rob_pelinka,0.05263157894736842,0.07692307692307693
121ttxn_rob_pelinka,0.25,0.25
1287bfy_rob_pelinka,0.2,0.2
12888kf_rob_pelinka,0.16666666666666666,0.2857142857142857
12ea7aj_rob_pelinka,1.0,0.3333333333333333
